0x8bf	0x8c3
0xf6b	0x1147
0x114c	0x114c
0x263c	0x263c
0x2642	0x2658
0x27b0	0x27e4
0x27ec	0x289d
0x2b60	0x2c16
0x8cc	0x371a
0xf51	0x37f7
0xf6b	0x3818
0xf6b	0x38f3
0xf6b	0x3960
0xf6b	0x39cd
0x11aa	0x39ef
0x1f78	0x3ba4
0x1f78	0x3bc6
0x1ff2	0x3c33
0x24fe	0x3ce8
0x2547	0x3d0e
0x2547	0x3d33
0x25a0	0x3d59
0x25e2	0x3d7f
0x2642	0x3da5
0x267f	0x3dee
0x26e7	0x3e38
0x27ec	0x3e5d
0x29a8	0x3e7f
0x29a8	0x3ea4
0x2b60	0x3ec9
0x1b8d	0x1c880x1b8d
0x1e6a	0x1f620x1e6a
0x2669	0x26790x2669
0x26d1	0x26e00x26d1
0x6e2	0x36630x6e2
0x1b8d	0x3b120x1b8d
0x1e6a	0x3b810x1e6a
0x2669	0x3dc80x2669
0x26d1	0x3e120x26d1
