0x0	0xc
0x1a	0x2b
0x801	0x823
0x885	0x892
0x286c	0x288e
0x28b8	0x28e80x24fe
0x294c	0x2983
0x1eea0x5ec	0x1f0c0x5ec
0x1c7b0x582	0x1c880x582
0x1c0d0x582	0x1c2f0x582
0x10	0x1a
0x151	0x15d
0xc3	0xcf
0x87	0x93
0x115	0x121
0x1ea	0x1f6
0x1ae	0x1ba
0x23c	0x247
0x781	0x794
0x89a	0x8ad
0xc28	0xc3b
0xf6b	0xf79
0x11b8	0x11cb
0x1256	0x1261
0x14d7	0x14ea
0x1508	0x151b
0x1c8e	0x1ca1
0x1f78	0x1f86
0x1fc9	0x1fdc
0x2019	0x2024
0x236d	0x2380
0x79c	0x7a2
0x7b1	0x7b6
0x7ec	0x801
0xe5	0xf0
0x837	0x885
0xc8c	0xca3
0x6d	0x78
0xcd7	0xd1e
0xcab	0xcd7
0xd22	0xd28
0x2547	0x254f
0xd63	0xd7d
0xda6	0xdc9
0xe21	0xe68
0xe1b	0xe21
0xe6c	0xe77
0xe80	0xe92
0xea9	0xeb3
0xf80	0xf86
0xf8d	0xf93
0xf9a	0x1008
0x100c	0x101a
0x10b0	0x10bc
0x10ff	0x110a
0x10cc	0x10d3
0x10f7	0x10fa
0x113b	0x1147
0x12bf	0x12d6
0x130a	0x1351
0x12de	0x130a
0x1355	0x135b
0x1396	0x13b0
0x13d9	0x13f8
0x2741	0x2750
0x1cc0	0x1cd7
0x1d0b	0x1d52
0x1cdf	0x1d0b
0x1d56	0x1d5c
0x1d97	0x1db1
0x2082	0x2099
0x20cd	0x2114
0x20a1	0x20cd
0x2118	0x211e
0x2159	0x2173
0x219c	0x21bb
0x2222	0x22a5
0x22a9	0x22b4
0x239f	0x23b6
0x23ea	0x2431
0x23be	0x23ea
0x2435	0x243b
0x2476	0x2490
0x28ac	0x28b8
0x2556	0x2562
0x2563	0x256a
0x2943	0x294c
0x2807	0x280d
0x281c	0x2821
0x2857	0x286c
0x2896	0x289d
0x2992	0x299d
0x278	0x28a
0x2b0	0x2c2
0x2fa	0x30c
0x344	0x356
0x387	0x399
0x3ac	0x3be
0x3e1	0x3f3
0x40d	0x41f
0x42a	0x43c
0x470	0x482
0x496	0x4a8
0x4c1	0x4d3
0x4e7	0x4f9
0x504	0x516
0x536	0x548
0x55c	0x56e
0x582	0x594
0x5ba	0x5cc
0x5ec	0x5fe
0x62a	0x63c
0x66b	0x67d
0x6b3	0x6c5
0x26d1	0x26db0x26d1
0x2669	0x26730x2669
0x27ec	0x27ff
0x36	0x41
0x2b	0x36
0x41	0x4c
0x4c	0x57
0x57	0x62
0x62	0x6d
0x78	0x83
0x93	0x9e
0x9e	0xa9
0xa9	0xb4
0xb4	0xbf
0xcf	0xda
0xda	0xe5
0xf0	0xfb
0xfb	0x106
0x106	0x111
0x121	0x12c
0x12c	0x137
0x137	0x142
0x142	0x14d
0x15d	0x168
0x168	0x173
0x173	0x17e
0x17e	0x189
0x189	0x194
0x194	0x19f
