0x7be	0x7e6
0xa88	0xa88
0x155a	0x155a
0x155e	0x15e8
0x16e5	0x17f3
0x1850	0x18df
0x18e7	0x190c
0x1950	0x1975
0x1bbb	0x1bbb
0x1bc1	0x1c67
0x1fc5	0x2059
0x2066	0x212f
0x21a2	0x21a2
0x70a	0x2db7
0x70a	0x2de0
0xa8e	0x2f2b
0xe2b	0x306d
0xec8	0x30da
0xec8	0x3103
0x1376	0x324c
0x164a	0x326d
0x164a	0x3292
0x16a3	0x32b8
0x32de	0x32de
0x18e7	0x3302
0x1950	0x3325
0x19b9	0x3348
0x33aa	0x33aa
0x1bc1	0x33ce
0x1d76	0x342e
0x1d82	0x3454
0x347a	0x347a
0x1e97	0x349e
0x1f59	0x34c3
0x1f6e	0x34e9
0x1f83	0x350f
0x1fc5	0x3535
0x2066	0x3557
0x21be	0x357b
0x21be	0x35a0
0x2208	0x35c5
0x2208	0x35ea
0x22ce	0x360f
0x234c	0x3632
0x70a	0x7960x70a
0xec8	0x7960xec8
0x9c2	0x2ec10x9c2
0xde2	0x2fb40xde2
0xe98	0x308e0xe98
0xeb0	0x30b40xeb0
0x1271	0x31b90x1271
0x12e1	0x32020x12e1
