0x12e	0x18c0x0
0x80	0x89
0x55	0x6c
0x9f	0xa1
0xd1	0xe8
0x128	0x12e
0x448B0x26	0x454B0x26
0x448B0xa1	0x454B0xa1
0x315B0x0	0x327B0x0
0x346B0x0	0x360B0x0
0x364B0x0	0x375B0x0
0x379B0x0	0x385B0x0
0x38eB0x0	0x3b0B0x0
0x3b9B0x0	0x3cfB0x0
0x2f8B0x32bB0x0	0x30cB0x32bB0x0
0x2f8B0x336B0x0	0x30cB0x336B0x0
0x495B0x3d3B0x0	0x49bB0x3d3B0x0
0x46eB0x3d3B0x0	0x471B0x3d3B0x0
0x48bB0x3d3B0x0	0x495B0x3d3B0x0
0x471B0x3d3B0x0	0x47bB0x3d3B0x0
0x1ddB0x1a8B0x89	0x1e7B0x1a8B0x89
0x25bB0x1a8B0x89	0x276B0x1a8B0x89
0x298B0x1a8B0x89	0x29dB0x1a8B0x89
0x495B0x3f5B0x1a8B0x89	0x49bB0x3f5B0x1a8B0x89
0x46eB0x3f5B0x1a8B0x89	0x471B0x3f5B0x1a8B0x89
0x48bB0x3f5B0x1a8B0x89	0x495B0x3f5B0x1a8B0x89
0x471B0x3f5B0x1a8B0x89	0x47bB0x3f5B0x1a8B0x89
0x2baB0x29dB0x1a8B0x89	0x2c4B0x29dB0x1a8B0x89
0x2cbB0x29dB0x1a8B0x89	0x2d4B0x29dB0x1a8B0x89
0x495B0x413B0x29dB0x1a8B0x89	0x49bB0x413B0x29dB0x1a8B0x89
0x46eB0x413B0x29dB0x1a8B0x89	0x471B0x413B0x29dB0x1a8B0x89
0x48bB0x413B0x29dB0x1a8B0x89	0x495B0x413B0x29dB0x1a8B0x89
0x471B0x413B0x29dB0x1a8B0x89	0x47bB0x413B0x29dB0x1a8B0x89
