0x8d	0x251	0x179	0x179
0x186	0x28d	0x18e	0x18e
0x1ab	0x2c1	0x18e	0x18e
0x1be	0x2f5	0x18e	0x18e
0x1d1	0x371	0x1dc	0x1dc
0x210	0x399	0x18e	0x18e
0x223	0x3cd	0x18e	0x18e
0x236	0x449	0x18e	0x18e
0x249	0x47d	0x18e	0x18e
0x251	0x4b1	0x25a	0x25a
