0x8d	0x00000000
0x17b	0x1113ed0d
0x1a0	0x178e6079
0x1b3	0x25012699
0x1c6	0x38bb6def
0x205	0x756f6049
0x218	0xa3b4b07f
0x22b	0xcbcc65eb
0x23e	0xdb8a61d4
