0xa3	0x5a7cdd6
0xc2	0x18f87df0
0xe5	0x71f2584c
0x109	0x73252494
0x111	0x7ce87b43
0x12b	0x8129fc1c
0x133	0xa01893bf
0x179	0xcfc16254
0x19f	0xec8d844f
0x1c5	0xfc0c546a
0xb5c	0x00000000
