0x1ae	0x968c3d8
0x1c3	0xe89439b
0x1d6	0xef96356
0x1e9	0x248a9ca3
0x212	0x256fdcd6
0x225	0x2f2ff15d
0x238	0x328b10d8
0x258	0x33e1a223
0x26b	0x36568abe
0x27e	0x48d89b05
0x291	0x4b341aed
0x2a4	0x4c255c97
0x2ac	0x5099a9dc
0x2c1	0x51f6cf2f
0x2e4	0x7033e4a6
0x2f9	0x817b1cd2
0x301	0x8dab7191
0x314	0x9010d07c
0x334	0x91d14854
0x347	0x9292ab5f
0x34f	0x9d81ff15
0x357	0x9f9106d1
0x35f	0xa217fddf
0x367	0xc8fd6ed0
0x37a	0xca15c873
0x38d	0xcd616ea3
0x395	0xd547741f
0x1d62	0x00000000
