0xf1	0x1ac
0x213	0x213
0x508	0x642
0x711	0xa2b
0xa41	0xa68
0xa6b	0xa82
0xaa4	0xb26
0xb42	0xc3f
0xc4e	0xc4e
0xc5b	0xc96
0xca1	0xcbb
0xcfc	0xda9
0xdb7	0xdcc
0x111f	0x113e
0x1146	0x115c
0x1166	0x118d
0x508	0x2bde
0x646	0x2c53
0xa86	0x2cf0
0xb32	0x2d3a
0x1166	0x2d84
0x711	0x5020x711
