0xcce
0xd44
0xf3f
0xf5a
0xfae
0xfd0
0xfec
0x102e
0x105e
0x1079
0x10cd
0x10ef
0x111a
0x114a
0x1165
0x11c1
0x11f1
0x125d
0x128d
0x12a8
0x1306
0x1336
0x1351
0x1423
0x1499
0x1563
0x15f5
0x166b
0x178f
0x1821
0x1897
0x197a
0x1a30
0x1aa6
0x1bb2
0x1c28
0x1cd0
0x1cec
0x1d98
0x1e47
0x1ebd
0x1f65
0x1f80
0x2011
0x2133
0x21a9
0x2269
0x22fb
0x2371
0x2593
0x2609
0x2796
0x280c
0x2903
0x2979
0x2c47
0x2cae
0x2e22
0x2e98
0x2f40
0x2f5c
0x2fa8
0x3076
0x3108
0x317e
0x33df
0x33e6
0x33f2
0x33f8
0x341a
0x3449
0x3617
0x3866
0x3a92
0x4abd
0x4c90
0x120c0x30f
0x349d0x30f
0x34a40x30f
0x34ab0x30f
0x34f00x30f
0x34f70x30f
0x34ff0x30f
0x4172S0x1c46
0x417aS0x1c46
0x4183S0x1c46
0x418aS0x1c46
0x4191S0x1c46
0x42caS0x1c46
0x430aS0x1c46
0x43fcS0x1c46
0x443bS0x1c46
0x429eS0x1c46
0x43d0S0x1c46
0x4172S0x1edb
0x417aS0x1edb
0x4183S0x1edb
0x418aS0x1edb
0x4191S0x1edb
0x42caS0x1edb
0x430aS0x1edb
0x43fcS0x1edb
0x443bS0x1edb
0x429eS0x1edb
0x43d0S0x1edb
0x4172S0x2aaf
0x417aS0x2aaf
0x4183S0x2aaf
0x418aS0x2aaf
0x4191S0x2aaf
0x42caS0x2aaf
0x430aS0x2aaf
0x43fcS0x2aaf
0x443bS0x2aaf
0x429eS0x2aaf
0x43d0S0x2aaf
0x4172S0x2eb6
0x417aS0x2eb6
0x4183S0x2eb6
0x418aS0x2eb6
0x4191S0x2eb6
0x42caS0x2eb6
0x430aS0x2eb6
0x43fcS0x2eb6
0x443bS0x2eb6
0x429eS0x2eb6
0x43d0S0x2eb6
