0xafd	0xaff
0xe1	0x26f
0xb0e	0xf9
0xb16	0x11b
0xb19	0x13b
0xb1c	0x17a
0xb00	0x8b
0xb08	0xc6
0xb0b	0xe6
0x2fbB0xf4	0x26f
