0x8b	0x25313a2
0xc6	0x3659cfe6
0xe6	0x4f1ef286
0xf9	0x5c60da1b
0x11b	0x612f2f37
0x13b	0x6c376cc5
0x17a	0xf1739cae
0xaff	0x00000000
