0x0	__function_selector__
0x1fb	()
0x1fb	fallback()
0x200	name()
0x21e	initialize(string,string,address)
0x233	rebasingCredits()
0x249	approve(address,uint256)
0x26c	governor()
0x28c	totalSupply()
0x294	transferFrom(address,address,uint256)
0x2a7	decimals()
0x2bc	increaseAllowance(address,uint256)
0x2cf	changeSupply(uint256)
0x2e2	_totalSupply()
0x2eb	mint(address,uint256)
0x2fe	vaultAddress()
0x311	rebaseState(address)
0x341	claimGovernance()
0x349	nonRebasingCreditsPerToken(address)
0x369	rebasingCreditsPerToken()
0x371	balanceOf(address)
0x384	rebasingCreditsPerTokenHighres()
0x38c	rebasingCreditsHighres()
0x394	symbol()
0x39c	isUpgraded(address)
0x3bc	burn(address,uint256)
0x3cf	decreaseAllowance(address,uint256)
0x3e2	transfer(address,uint256)
0x3f5	rebaseOptOut()
0x3fd	isGovernor()
0x405	transferGovernance(address)
0x418	allowance(address,address)
0x451	creditsBalanceOfHighres(address)
0x481	nonRebasingSupply()
0x48a	rebaseOptIn()
0x492	creditsBalanceOf(address)
0x4ba	0x4ba
0x54c	0x54c
0x6fa	0x6fa
0x713	0x713
0x77f	0x77f
0x8e4	0x8e4
0xb72	0xb72
0xbaa	0xbaa
0xc50	0xc50
0xc64	0xc64
0xcba	0xcba
0xcc9	0xcc9
0xde4	0xde4
0xfb9	0xfb9
0x1231	0x1231
0x12f5	0x12f5
0x1308	0x1308
0x1476	0x1476
0x1482	0x1482
0x164c	0x164c
0x1710	0x1710
0x1960	0x1960
0x19cb	0x19cb
0x19d7	0x19d7
0x19e3	0x19e3
0x1a24	0x1a24
0x1adc	0x1adc
0x1afe	0x1afe
0x1b82	0x1b82
0x1b97	0x1b97
0x1bae	0x1bae
0x1bf7	0x1bf7
0x1c12	0x1c12
0x1c81	0x1c81
0x1cab	0x1cab
0x1d6d	0x1d6d
0x1dc2	0x1dc2
0x1df9	0x1df9
0x1e39	0x1e39
0x1e7a	0x1e7a
0x1e91	0x1e91
