0x1fb	0x00000000
0x200	0x6fdde03
0x21e	0x77f224a
0x233	0x77f22b7
0x249	0x95ea7b3
0x26c	0xc340a24
0x28c	0x18160ddd
0x294	0x23b872dd
0x2a7	0x313ce567
0x2bc	0x39509351
0x2cf	0x39a7919f
0x2e2	0x3eaaf86b
0x2eb	0x40c10f19
0x2fe	0x430bf08a
0x311	0x456ee286
0x341	0x5d36b190
0x349	0x609350cd
0x369	0x6691cb3d
0x371	0x70a08231
0x384	0x7a46a9c5
0x38c	0x7d0d66ff
0x394	0x95d89b41
0x39c	0x95ef84b9
0x3bc	0x9dc29fac
0x3cf	0xa457c2d7
0x3e2	0xa9059cbb
0x3f5	0xc2376dff
0x3fd	0xc7af3352
0x405	0xd38bfff4
0x418	0xdd62ed3e
0x451	0xe5c4fffe
0x481	0xe696393a
0x48a	0xf51b0fd4
0x492	0xf9854bfc
