0x58	0x6f
0xb6	0xcd
0x5fbB0x26	0x607B0x26
0x5fbB0x86	0x607B0x86
0x4c8B0x0	0x4daB0x0
0x4f9B0x0	0x513B0x0
0x517B0x0	0x528B0x0
0x52cB0x0	0x538B0x0
0x541B0x0	0x563B0x0
0x56cB0x0	0x582B0x0
0x4abB0x4deB0x0	0x4bfB0x4deB0x0
0x4abB0x4e9B0x0	0x4bfB0x4e9B0x0
0x621B0x586B0x0	0x624B0x586B0x0
0x63eB0x586B0x0	0x648B0x586B0x0
0x624B0x586B0x0	0x62eB0x586B0x0
0x23fB0xd6	0x2910x12aB0xd6
0x22fB0xd6	0x23fB0xd6
0xf8B0x78	0x104B0x78
0x106B0x78	0x10dB0x78
0x2faB0x78	0x300B0x78
0x387B0x1c7B0x10dB0x78	0x391B0x1c7B0x10dB0x78
0x405B0x1c7B0x10dB0x78	0x420B0x1c7B0x10dB0x78
0x442B0x1c7B0x10dB0x78	0x447B0x1c7B0x10dB0x78
0x621B0x5a8B0x1c7B0x10dB0x78	0x624B0x5a8B0x1c7B0x10dB0x78
0x63eB0x5a8B0x1c7B0x10dB0x78	0x648B0x5a8B0x1c7B0x10dB0x78
0x624B0x5a8B0x1c7B0x10dB0x78	0x62eB0x5a8B0x1c7B0x10dB0x78
0x46dB0x447B0x1c7B0x10dB0x78	0x477B0x447B0x1c7B0x10dB0x78
0x47eB0x447B0x1c7B0x10dB0x78	0x487B0x447B0x1c7B0x10dB0x78
0x621B0x5c6B0x447B0x1c7B0x10dB0x78	0x624B0x5c6B0x447B0x1c7B0x10dB0x78
0x63eB0x5c6B0x447B0x1c7B0x10dB0x78	0x648B0x5c6B0x447B0x1c7B0x10dB0x78
0x624B0x5c6B0x447B0x1c7B0x10dB0x78	0x62eB0x5c6B0x447B0x1c7B0x10dB0x78
0x1230x621B0x586B0x0	0x1250x621B0x586B0x0
0x104B0x78	0x106B0x78
0x1230xedB0x78	0x1250xedB0x78
0x1230x621B0x5a8B0x1c7B0x10dB0x78	0x1250x621B0x5a8B0x1c7B0x10dB0x78
0x1230x621B0x5c6B0x447B0x1c7B0x10dB0x78	0x1250x621B0x5c6B0x447B0x1c7B0x10dB0x78
