0xb9	0x00000000
0x124	0x1113ed0d
0x149	0x178e6079
0x15c	0x25012699
0x16f	0x3bc7ebac
0x1ab	0x756f6049
0x1be	0x80afdea8
0x1d1	0xa3b4b07f
0x1e4	0xcbcc65eb
0x1f7	0xd4aae0c4
0x20a	0xdaa3a163
0x231	0xdb8a61d4
0x244	0xea879634
