0xbc	0xc3
0xdf	0xe7
0x117	0x265
0x127	0x12f
0x130	0x606
0x133	0x2a1
0x14c	0x154
0x155	0x637
0x158	0x2d5
0x15f	0x167
0x168	0x668
0x16b	0x309
0x172	0x17a
0x17b	0x699
0x17e	0x385
0x1ae	0x1b6
0x1b7	0x6e1
0x1ba	0x3a1
0x1c1	0x1c9
0x1ca	0x712
0x1cd	0x3d5
0x1d4	0x1dc
0x1dd	0x743
0x1e0	0x3db
0x1e7	0x1ef
0x1f0	0x774
0x1f3	0x457
0x1fa	0x202
0x203	0x7a5
0x206	0x48b
0x20d	0x215
0x216	0x21d
0x219	0x4a7
0x234	0x23c
0x23d	0x7ed
0x240	0x4ac
0x247	0x24f
0x250	0x81e
0x266	0x26e
0x26a	0x5c0
0x271	0x279
0x296	0x29d
0x847	0x861
0x849	0x864
0x84b	0x867
0x84d	0x86a
0x84f	0x86d
0x851	0x870
0x853	0x873
0x855	0x876
0x857	0x879
0x859	0x87c
0x85b	0x87f
0x85d	0x882
0x85f	0x885
0x2440x5a9	0x5b10x244
0x2440x598	0x5a00x244
0x2440x25c	0x4e00x244
0x2440x256	0x2600x244
0x256V0xb9	0x2600x253B0xb9
0x25cV0xb9	0x4e00x253B0xb9
0x2530x598V0xb9	0x5a00x253B0xb9
0x2530x5a9V0xb9	0x5b10x253B0xb9
