0x40	0xdde43cba
0x0	0x80
0x1f	0xc4d66de8
0x2	0x40
0x5	0x4
0x9	0xc6
0xd	0x0
0x10	0xe0
0x14	0x894e9a0d
0x1a	0x7f
0x25	0x59
0x2a	0xc4d66de8
0x35	0xcc1b4bf6
0x4b	0xe1f21c67
0x55	0x0
0x5b	0x894e9a0d
0x66	0xa82ccd4d
0x71	0xbeabacc8
0x7b	0x0
0x81	0x6bc2ee0
0x8c	0x932f92b
0x97	0x3656eec2
0xa2	0x51ee886b
0xad	0x6db9241b
0xb8	0x7a9b2c6c
0xc2	0x0
0xc8	0xcd
0xce	0x0
0xd6	0xde
0xda	0x0
0xe0	0x33
0xe3	0x1
0xe5	0x1
0xe7	0xa0
0xe9	0x10000000000000000000000000000000000000000
0xea	0xffffffffffffffffffffffffffffffffffffffff
0x10d	0x115
0x111	0x0
0x117	0x35
0x11b	0x40
0x121	0x20
0x124	0x100
0x12c	0x134
0x130	0x0
0x136	0x1f61
0x139	0x143
0x13d	0x4
0x13f	0x17b0
0x144	0x2e2
0x14c	0x154
0x150	0x0
0x156	0xec
0x159	0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
0x174	0x17c
0x178	0x0
0x17e	0x1f8e
0x181	0x18b
0x185	0x4
0x187	0x17e0
0x18c	0x493
0x1a4	0x1ac
0x1a8	0x0
0x1ae	0x1fbd
0x1b1	0x1bb
0x1b5	0x4
0x1b7	0x17f9
0x1bc	0x71e
0x1c4	0x1cc
0x1c8	0x0
0x1ce	0x1e0
0x1d1	0x1db
0x1d5	0x4
0x1d7	0x17e0
0x1dc	0xa45
0x1e1	0x40
0x1e5	0x1
0x1e7	0x1
0x1e9	0xa0
0x1eb	0x10000000000000000000000000000000000000000
0x1ec	0xffffffffffffffffffffffffffffffffffffffff
0x1f5	0x20
0x204	0x60
0x209	0x80
0x20e	0xa0
0x213	0xc0
0x21b	0xe0
0x223	0x100
0x227	0x100
0x22f	0x237
0x233	0x0
0x239	0x1fec
0x23c	0x246
0x240	0x4
0x242	0x17e0
0x247	0xaee
0x24f	0x257
0x253	0x0
0x259	0x2019
0x25c	0x266
0x260	0x4
0x262	0x181b
0x267	0xc09
0x271	0x279
0x275	0x0
0x27b	0x203a
0x27e	0x288
0x282	0x4
0x284	0x185c
0x289	0xcd1
0x291	0x299
0x295	0x0
0x29b	0x205b
0x29e	0x2a8
0x2a2	0x4
0x2a4	0x1879
0x2a9	0xd55
0x2b1	0x2b9
0x2b5	0x0
0x2bb	0x2088
0x2be	0x4
0x2c6	0x2ce
0x2ca	0x0
0x2d0	0x20b5
0x2d3	0x2dd
0x2d7	0x4
0x2d9	0x181b
0x2de	0x122a
