0xd2	0x6bc2ee0
0x109	0x932f92b
0x128	0x3656eec2
0x148	0x51ee886b
0x170	0x6db9241b
0x1a0	0x7a9b2c6c
0x1c0	0x894e9a0d
0x22b	0xa82ccd4d
0x24b	0xbeabacc8
0x26d	0xc4d66de8
0x28d	0xcc1b4bf6
0x2ad	0xdde43cba
0x2c2	0xe1f21c67
0x24b3	0x00000000
