0x34e70x2949
0x34f00x2949
0x34fd0x2949
0x34fe0x2949
0x35230x2949
0x35240x2949
0x35330x2949
0x35410x2949
0x35420x2949
0x35520x2949
0x35880x2949
0x35890x2949
0x359e0x2949
0x35a70x2949
0x35de0x2949
0x35e20x2949
0x35ed0x2949
0x35f60x2949
0x362f0x2949
0x36330x2949
0x363e0x2949
0x36470x2949
0x366b0x2949
0x76a80x2949
0x76ce0x2949
