0x15d	0x91954cd
0x172	0xc02e130
0x190	0x1c30514b
0x1a3	0x229b92f2
0x1b6	0x2ec9d21f
0x1be	0x37e0b22d
0x1d1	0x3cee06c3
0x1e4	0x439c27d8
0x1f7	0x43ccd945
0x20a	0x452a9320
0x21f	0x47e7ef24
0x232	0x485cc955
0x245	0x4e3f95b5
0x258	0x52b38f1f
0x260	0x715018a6
0x268	0x7337b437
0x27b	0x8da5cb5b
0x283	0xb36733b6
0x298	0xd9caed12
0x2ab	0xe9946f6c
0x2b3	0xee3a7f1c
0x2bb	0xf2fde38b
0x2ce	0xf772431d
0x2ee	0xfbaf894c
0x23a6	0x00000000
