0xd76S0x2dc	0x19a3V0x2ce	0xd5fV0x2dc
0x4c7S0x1cc	0x19a3V0x1be	0x4b0V0x1cc
0x22d8S0x2268S0x571S0x1cc	0x19a3V0x1be	0x225eV0x571V0x1cc
0x94bS0x253	0x19a3V0x245	0x934V0x253
0x22d8S0x2268S0xa63S0x253	0x19a3V0x245	0x225eV0xa63V0x253
0x22e3B0x1a7eB0x2159B0x1385B0xa52B0x253	0x1137V0xa52V0x253	0x2160V0x1385V0xa52V0x253
