0x23c5	0x23c7
0x23c8	0x23ca
0x23cb	0x23cd
0x23ce	0x23d0
0x23d1	0x23d3
0x23d4	0x23d6
0x23d7	0x23d9
0x23da	0x23dc
0x23dd	0x23df
0x23e0	0x23e2
0x23e3	0x23e5
0x23e6	0x23e8
0x23e9	0x23eb
0x23ec	0x23ee
0x23ef	0x23f1
0x23f2	0x23f4
0x23f5	0x23f7
0x23f8	0x23fa
0x23fb	0x23fd
0x23fe	0x2400
0x2401	0x2403
0x2404	0x2406
0x2407	0x2409
0x240a	0x240c
0x240d	0x240f
0x2410	0x2412
0x2413	0x2415
0x2416	0x2418
0x2419	0x241b
0x241c	0x241e
0x241f	0x2421
0x2422	0x2424
0x2425	0x2427
0x2428	0x242a
0x242b	0x242d
0x242e	0x2430
0x2431	0x2433
0x2434	0x2436
