0x156	0xc5aed57
0x17f	0x105a88e3
0x192	0x162fd53f
0x1a7	0x186ee8a4
0x1bc	0x3f4ba83a
0x1c4	0x47e7ef24
0x1e4	0x5c975abb
0x1ec	0x67ccd1cb
0x1ff	0x715018a6
0x207	0x8129fc1c
0x20f	0x8456cb59
0x217	0x8da5cb5b
0x22c	0xa5e80753
0x234	0xaa9f6217
0x247	0xc3422094
0x25a	0xde6d6d96
0x26d	0xefc908a1
0x280	0xf2fde38b
0x293	0xf3fef3a3
0x2e89	0x00000000
