[0x00000000, nil]
[0xe4e1e538, nil]
[0x49b59552, nil]
[0xa457c2d7, nil]
[0xcf5e7bd3, nil]
[0x250aa683, nil]
[0x371babdc, nil]
[0x63b5f015, nil]
[0x6fdde03, nil]
[0xf1018dc1, nil]
[0x4cde1618, nil]
[0xa9059cbb, nil]
[0xd2209ad9, nil]
[0x2c500bc8, nil]
[0x39509351, nil]
[0x70a08231, nil]
[0x95ea7b3, nil]
[0xf9b45bfe, nil]
[0x4eee8d15, nil]
[0xaa6ca808, nil]
[0xd4cadf68, nil]
[0x3018205f, nil]
[0x3fdddaa2, nil]
[0x830df852, nil]
[0x18160ddd, nil]
[0xfd68f223, nil]
[0x554d578d, nil]
[0xbd5437e8, nil]
[0xd8d2dc88, nil]
[0x313ce567, nil]
[0x44b25052, nil]
[0x92eefe9b, nil]
[0x23b872dd, nil]
[0xfde924f7, nil]
[0x564294f7, nil]
[0xc4f82cf2, nil]
[0xdd62ed3e, nil]
[0x34e19907, nil]
[0x47786d37, nil]
[0x95d89b41, nil]
[0xf1018dc1, [0x4c6, nil]]
[0x4cde1618, [0x2c3, nil]]
[0x2c500bc8, [0x2c3, nil]]
[0xf9b45bfe, [0x4c6, nil]]
[0x3018205f, [0x2c3, nil]]
[0x554d578d, [0x288, nil]]
[0x18160ddd, [0x288, nil]]
[0x44b25052, [0x2c3, nil]]
[0x6fdde03, [0x24a, nil]]
[0x313ce567, [0x2e0, nil]]
[0x95d89b41, [0x24a, nil]]
[0x830df852, [0x288, nil]]
[0xd4cadf68, [0x288, nil]]
[0x70a08231, [0x288, nil]]
[0xfde924f7, [0x273, nil]]
[0xdd62ed3e, [0x288, nil]]
[0x250aa683, [0x288, nil]]
[0xaa6ca808, [0x424, nil]]
[0x95ea7b3, [0x273, nil]]
[0xaa6ca808, [0x318c, [0x424, nil]]]
[0xa457c2d7, [0x273, nil]]
[0x39509351, [0x273, nil]]
[0xa9059cbb, [0x273, nil]]
[0x371babdc, [0x315, nil]]
[0x371babdc, [0x319f, [0x315, nil]]]
[0x23b872dd, [0x273, nil]]
[0xe4e1e538, [0x4ab, nil]]
[0x49b59552, [0x364, nil]]
[0xa457c2d7, [0x3f6, nil]]
[0xcf5e7bd3, [0x457, nil]]
[0x250aa683, [0x2a8, nil]]
[0x371babdc, [0x302, nil]]
[0x63b5f015, [0x3ad, nil]]
[0x6fdde03, [0x242, nil]]
[0xf1018dc1, [0x4be, nil]]
[0x4cde1618, [0x377, nil]]
[0xa9059cbb, [0x409, nil]]
[0xd2209ad9, [0x46a, nil]]
[0x2c500bc8, [0x2bb, nil]]
[0x39509351, [0x323, nil]]
[0x70a08231, [0x3c0, nil]]
[0x95ea7b3, [0x260, nil]]
[0xf9b45bfe, [0x4d4, nil]]
[0x4eee8d15, [0x37f, nil]]
[0xaa6ca808, [0x41c, nil]]
[0xd4cadf68, [0x47d, nil]]
[0x3018205f, [0x2d0, nil]]
[0x3fdddaa2, [0x336, nil]]
[0x830df852, [0x3d3, nil]]
[0xe4e1e538, [0x2f4f, [0x4ab, nil]]]
[0x18160ddd, [0x280, nil]]
[0xfd68f223, [0x4dc, nil]]
[0x49b59552, [0x302b, [0x364, nil]]]
[0xa457c2d7, [0x2f22, [0x3f6, nil]]]
[0xcf5e7bd3, [0x2e05, [0x457, nil]]]
[0x554d578d, [0x392, nil]]
[0xbd5437e8, [0x431, nil]]
[0xd8d2dc88, [0x485, nil]]
