0x77e	getDenormalizedWeight(address)
0x2636	getCurrentTokens()
0x946S0x310	getCurrentTokens()
0xa41S0x310	getBalance(address)
0x199eS0x47d	getSwapFee()
0x8b20x7dfS0x2fb	setSwapFee(uint256)
0xba0S0x344	gulp(address)
0xc04S0x344	balanceOf(address)
0xc9fS0x344	transferFrom(address,address,uint256)
0xd43S0x344	approve(address,uint256)
0xdcbS0x344	rebind(address,uint256,uint256)
0xe2aS0x344	balanceOf(address)
0xeb2S0x344	transfer(address,uint256)
0x8b20xfd8S0x372	setPublicSwap(bool)
0x16adS0x465	unbind(address)
0x170cS0x465	balanceOf(address)
0x1794S0x465	transfer(address,uint256)
0x284cS0x19ecS0x493	getCurrentTokens()
0x28fdS0x19ecS0x493	getBalance(address)
0x29e8S0x19ecS0x493	balanceOf(address)
0x2a99S0x19ecS0x493	rebind(address,uint256,uint256)
0x1b55S0x4b9	transferFrom(address,address,uint256)
0x1bf9S0x4b9	approve(address,uint256)
0x1c80S0x4b9	bind(address,uint256,uint256)
0x1d4fS0x4dc	approve(address,uint256)
0x1e4cS0x4e4	isPublicSwap()
0x2371S0x1156S0x3a8	getCurrentTokens()
0x2422S0x1156S0x3a8	getBalance(address)
0x2524S0x1156S0x3a8	rebind(address,uint256,uint256)
0x2584S0x1156S0x3a8	transfer(address,uint256)
