0x40	0xa80x0
0x9	0x2d
0x29	0x3c
0x2f	0x3c
0x36	0xa80x73c
0x48	0x50
0x52	0x6a6
0x5f	0x67
0x73	0xc2
0x7b	0x83
0x85	0x8c
0xf5	0xfd
0x104	0x111
0x11f	0x127
0x137	0x17f
0x180	0x188
0x184	0x31c
0x1cb	0x1e5
0x1e1	0x1c6
0x220	0x245
0x241	0x24a
0x251	0x28b
0x31d	0x325
0x321	0x45f
0x460	0x468
0x464	0x2cd
0x469	0x4a3
0x736	0x73d
0x738	0x740
0x00x30f	0x3170x0
0x73c0x30f	0x3170x73c
0x00xbc	0x2f80x0
0x73c0xbc	0x2f80x73c
0x00xb4	0xbb0x0
0x73c0xb4	0xbb0x73c
0x00xa9	0xb00x0
0x73c0xa9	0xb00x73c
0x295V0x83	0x29cB0x83
