0x8d6	0x9b7
0xa34	0xb23
0xb40	0xbf7
0xde6	0xe77
0xee9	0xee9
0xeed	0xf12
0xf56	0xf7b
0x1158	0x11ec
0x1336	0x1336
0x13cf	0x144e
0x1588	0x1588
0x1775	0x17e9
0x1aa6	0x1aa6
0x1b3b	0x1ba6
0x1bcc	0x1bf7
0x1c00	0x1c3c
0x1c45	0x1c88
0x1c92	0x1d4c
0x1dee	0x1eaa
0x1ee3	0x1ef4
0x1efb	0x1f1f
0x1f2a	0x1f41
0x1fb2	0x1fef
0x202e	0x2046
0x205a	0x205a
0x2084	0x2084
0x20b1	0x2132
0x214a	0x214a
0x23fb	0x23fb
0x2455	0x2455
0x2633	0x2633
0x2739	0x277a
0x279e	0x279e
0x27b9	0x27d8
0x27e0	0x27f6
0x2800	0x2824
0x701	0x2d4c
0x747	0x2d6d
0xa34	0x2e2e
0xb29	0x2e53
0xe7e	0x2fba
0xeed	0x302b
0xf56	0x304e
0xfbf	0x3071
0x1071	0x310e
0x1098	0x3157
0x13cf	0x3356
0x145b	0x3378
0x14d3	0x339d
0x1669	0x340e
0x1669	0x3433
0x171a	0x3458
0x1775	0x34a4
0x1826	0x34ee
0x1826	0x3513
0x1870	0x3538
0x1870	0x355d
0x1936	0x3582
0x1936	0x35a6
0x19c5	0x35f2
0x19dc	0x3641
0x1ae2	0x3690
0x2800	0x36fd
0x282c	0x3722
0x75d	0x7780x75d
0x77e	0x7780x77e
0xec4	0x7780xec4
0x1137	0x7780x1137
0x1143	0x7780x1143
0x1491	0x7780x1491
0x1519	0x7780x1519
0x152e	0x7780x152e
0x1bb1	0x7780x1bb1
0x1ec3	0x7780x1ec3
0x2175	0x7780x2175
0x801	0x8cf0x801
0x1af9	0x8cf0x1af9
0x1005	0x10670x1005
0x10de	0x10670x10de
0x133c	0x13cc0x133c
0x1775	0x13cc0x1775
0x65d	0x2cde0x65d
0x697	0x2cde0x697
0x6bf	0x2d290x6bf
0xc26	0x2d290xc26
0x133c	0x330c0x133c
0x1775	0x330c0x1775
