0x34b	0x2ef	0x334
0x3e2	0x386	0x3cb
0x5c0	0x564	0x5a9
0xb60	0xb04	0xb49
0xbf7	0xb9b	0xbe0
0xebf	0xe63	0xea8
0x134c	0x12f0	0x1335
0x1d40	0x695	0x1d29
0x216d	0x8f6	0x2156
0x2cde	0x10e7	0x2cc4
0x257	0x231_0x0	0x23a
0x6ff	0x1ca9	0x6df
0x96a	0x2100	0x94a
0xd25	0xcff_0x0	0xd08
0xf92	0xf6c_0x0	0xf75
0x5431	0x5313	0x5414
