0xbbd	0xbbf
0xa4	0x1c9
0xef	0x29f
0xbc0	0x65
0xbc3	0x85
0xbc6	0x98
0xbc9	0xc3
0xbcc	0xe3
0xf80x0	0x2ca
0xf80x1c9	0x2ca
0xf80x29f	0x2ca
0xf80xbbf	0x2ca
0x134B0x80	0x379
0xf80x112B0x80	0x2ca
0xf80x206B0xde	0x2ca
0x16eB0x93	0x379
0xf80x14cB0x93	0x2ca
