0x110	0x91954cd
0x138	0xd12e550
0x170	0x23c77b9e
0x18e	0x3c4666cf
0x2c3	0x3fc8cef3
0x2e7	0x452a9320
0x2ef	0x485cc955
0x31d	0x6d34cd17
0x35b	0x70363ed6
0x381	0x715018a6
0x389	0x8a542c4b
0x3af	0x8da5cb5b
0x3b7	0xb3dcd791
0x3bf	0xb7b81766
0x3c7	0xe9946f6c
0x3cf	0xf042c094
0x3d7	0xf2fde38b
0xfe4	0x00000000
