0x1ea	0x6fdde03
0x267	0x95ea7b3
0x2a7	0xafbcdc9
0x2e6	0xbd7ad3b
0x300	0x156e29f6
0x332	0x18160ddd
0x33a	0x1da24f3e
0x360	0x23b872dd
0x396	0x30adf81f
0x39e	0x3118724e
0x46c	0x313ce567
0x48a	0x3644e515
0x492	0x39509351
0x4be	0x4efecaa5
0x4ea	0x70a08231
0x510	0x7535d246
0x534	0x75d26413
0x53c	0x78160376
0x544	0x7df5bd3b
0x567	0x95d89b41
0x56f	0xa457c2d7
0x59b	0xa9059cbb
0x5c7	0xae167335
0x5cf	0xb16a19de
0x5d7	0xb1bf962d
0x5df	0xb9844d8d
0x605	0xd0fc81d2
0x60d	0xd505accf
0x65e	0xd7020d0a
0x69a	0xdd62ed3e
0x6c8	0xf866c319
0x29b0	0x00000000
