0xc1	0x00000000
0xc6	0x4c3ba268
0x1b9	0x60b1e057
0x1de	0x73053410
0x267	0x737e7d4f
0x27d	0x80afdea8
0x290	0x8b3dd749
0x2a3	0x9a6fe50c
0x2c2	0x9b3fdf4c
0x2d5	0xa1658fad
0x34c	0xa7bdf16e
0x3ad	0xaa61924a
0x3c0	0xc36af460
0x3d3	0xc6d48e0d
0x3e6	0xd4aae0c4
0x415	0xf92a79ff
