0x184d	burnFrom(address,uint256)
0x1977	mint(address,uint256)
0x1b91	totalSupply()
0x2299	mint(address,uint256)
0x26fc	twapDollarPrice(address,uint256)
0x28bc	consultDollarPrice(address,uint256)
0x2bde	updateCumulative()
0x9180x1c11	epoch()
0x9180x8aaS0x346	nextEpochLength()
0x9180x2604S0x882	nextEpochPoint()
0x2f7eS0x2dfcS0x2d24S0x2aa7S0x1360	transfer(address,uint256)
