0xf8b	0xc3c
0xf7c	0x11e
0xf7f	0x126
0xf82	0x12e
0xf85	0x154
0xf88	0x15c
0xf70	0x98
0xf73	0xc0
0xf76	0xe4
0xf79	0x116
