0x1fae	0x19b2
0x1f9f	0x26e
0x1fa2	0x281
0x1f96	0x249
0x1fa5	0x289
0x1fa8	0x291
0x1fab	0x2b3
0x1f90	0x223
0x1f93	0x236
0x1f99	0x251
0x1f9c	0x259
0x1f81	0x1c4
0x1f84	0x1d7
0x1f87	0x1ea
0x1f8a	0x1fd
0x1f8d	0x210
0x1f72	0x13c
0x1f75	0x167
0x1f78	0x187
0x1f7b	0x19c
0x1f7e	0x1af
0x12390x11fc	0x135b
0x13c90x135b	0x140b
0x13e90x135b	0x140b
0x4e1B0x1f8	0xb5a
0x37aB0x1aa	0xb5a
0x586B0x20b	0xb5a
0xe820x1190B0xd01	0x11fc
0x13440x1190B0xd01	0x140b
0xe82B0x393B0x1bd	0x11fc
0x13440xe82B0x393B0x1bd	0x140b
0x12390xf51B0x812B0x231	0x135b
0x13440x108dB0x9bbB0x244	0x140b
0x13c90x108dB0x9bbB0x244	0x140b
0x13e90x108dB0x9bbB0x244	0x140b
