0x13c	0x1652e7b7
0x167	0x198fa81e
0x187	0x1c39b672
0x19c	0x3111e7b3
0x1af	0x31873e2e
0x1c4	0x3373ee4c
0x1d7	0x39ccbdd3
0x1ea	0x41485304
0x1fd	0x6d34b96e
0x210	0x74d945ec
0x223	0x79f171b2
0x236	0x8b599f26
0x249	0xcc69afec
0x249	0x919cd40f
0x251	0x99248ea7
0x259	0xaaf5eb68
0x26e	0xc4d66de8
0x281	0xcbcbb507
0x289	0xdde43cba
0x291	0xf11b8188
0x2b3	0xf5cf673b
0x19b2	0x00000000
