0x1ea	0x6fdde03
0x267	0x95ea7b3
0x2a7	0x1624f6c6
0x3db	0x18160ddd
0x3f5	0x23b872dd
0x42b	0x30adf81f
0x433	0x313ce567
0x451	0x3644e515
0x459	0x39509351
0x485	0x3f4ba83a
0x48d	0x40c10f19
0x4b9	0x42966c68
0x4d6	0x46fbf68e
0x4fc	0x485cc955
0x52a	0x5c975abb
0x532	0x6ef8d66d
0x53a	0x70a08231
0x560	0x79cc6790
0x58c	0x7ecebe00
0x5b2	0x8129fc1c
0x5ba	0x82dc1ec4
0x5e0	0x8456cb59
0x5e8	0x95d89b41
0x5f0	0x983b2d56
0x616	0x98650275
0x61e	0xa457c2d7
0x64a	0xa9059cbb
0x676	0xaa271e1a
0x69c	0xc4d66de8
0x6c2	0xd505accf
0x713	0xdd62ed3e
0x23fb	0x00000000
