0x60	0x1c8a
0x1a	0xd1
0x25	0x8a
0x30	0x64
0x86	0x1cae
0xcd	0x1cd2
0xd9	0x13e
0xe4	0x118
0x114	0x1cf6
0x13a	0x1d1a
0x18a	0x192
0x194	0x1d3e
0x197	0x1a1
0x19d	0x1753
0x1ac	0x1b4
0x1b6	0x1bd0x1a8
0x1b9	0x475
0x1d7	0x1df
0x1e1	0x1e80x1d3
0x1f9	0x201
0x203	0x1daf
0x206	0x210
0x219	0x221
0x223	0x1e80x215
0x226	0x613
0x22e	0x236
0x238	0x1e80x22a
0x23b	0x619
0x243	0x24b
0x24d	0x1e80x23f
0x250	0x61f
0x258	0x260
0x262	0x1e80x254
0x265	0x625
0x26d	0x275
0x277	0x1e80x269
0x27a	0x284
0x28d	0x295
0x297	0x1e80x289
0x29a	0x64d
0x2a2	0x2aa
0x2ac	0x1e80x29e
0x2af	0x2b9
0x2c2	0x2ca
0x2cf	0x2d9
0x2d5	0x15a3
0x2e2	0x2ea
0x2ec	0x1e80x2de
0x2ef	0x2f9
0x2fa	0x826
0x302	0x30a
0x30c	0x1e80x2fe
0x30f	0x319
0x31a	0x839
0x322	0x32a
0x32c	0x1e80x31e
0x337	0x33f
0x341	0x1df1
0x344	0x971
0x34c	0x354
0x356	0x1bd0x348
0x359	0x9d2
0x361	0x369
0x36b	0x1bd0x35d
0x36e	0x9e1
0x376	0x37e
0x380	0x1e12
0x383	0x38d
0x389	0x17a9
0x396	0x39e
0x3a0	0x1e33
0x3a3	0x3ad
0x3b6	0x3be
0x3c0	0x1e80x3b2
0x3cb	0x3d3
0x3d5	0x1e80x3c7
0x3d8	0xb1e
0x3e0	0x3e8
0x3ea	0x1e54
0x3ed	0x3f7
0x3fd	0x1e75
0x400	0x40a
0x40b	0xbf6
0x413	0x41b
0x420	0x42a
0x426	0x1650
0x433	0x43b
0x43d	0x1bd0x42f
0x440	0x1109
0x48e	0x4a7
0x499	0x4a1
0x4a9	0x4b4
0x4b0	0x5eb
0x4b5	0x51a
0x4bb	0x1edb
0x4be	0x4d0
0x4c1	0x4c8
0x4d1	0x1f00
0x4d7	0x1f25
0x4da	0x505
0x4e0	0x4ff
0x4e4	0x1f4a
0x549	0x55a
0x556	0x1870
0x56a	0x572
0x579	0x586
0x5a1	0x1f6e
0x5a6	0x1828
0x5d9	0x55a
0x69e	0x6a6
0x6ad	0x6ba
0x6d5	0x6de
0x6ff	0x709
0x705	0x70c
0x725	0x72c
0x733	0x746
0x737	0x741
0x742	0x749
0x74c	0x768
0x750	0x759
0x75a	0x763
0x781	0x78d
0x786	0x78d
0x78f	0x79b
0x79c	0x7c0
0x7af	0x1fb5
0x7cf	0x7eb
0x7ec	0x7f4
0x7f5	0x806
0x809	0x818
0x980	0x988
0xa81	0xa89
0xa90	0xa9d
0xab8	0xac1
0xae2	0xaec
0xae8	0xaef
0xb00	0xb15
0xb04	0x206d
0xb31	0xb3d
0xb36	0xb3d
0xb3f	0xb4b
0xb4c	0xb67
0xb5f	0x2092
0xb76	0xb92
0xbe4	0x20ba
0xbf8	0xc0d
0xc0f	0xc2a
0xc22	0x20dd
0xc26	0x1a67
0xc2d	0xc3e
0xc44	0xc86
0xc88	0xca5
0xc8d	0xca2
0xca6	0xcc1
0xcb9	0x2105
0xcbd	0x18fa
0xcc4	0xccc
0xcd3	0xcee
0xce6	0x212d
0xcea	0x1a8d
0xd37	0xd3f
0xd46	0xd53
0xd6e	0xd77
0xd98	0xda2
0xd9e	0xda5
0xdbe	0xdc5
0xdca	0xe9d
0xdd0	0xdda
0xdf7	0xe02
0xdfe	0xe06
0xe16	0xe30
0xe56	0xe67
0xe79	0xe81
0xe88	0xe95
0xeb7	0xec2
0xebe	0xec6
0xf12	0xf1a
0xf21	0xf2e
0xf58	0xf69
0xf65	0x18ae
0xf7b	0xf83
0xf8a	0xf97
0xfb2	0xfbb
0xfdf	0xff0
0x1002	0x100a
0x1011	0x101e
0x1042	0x104a
0x1149	0x2178
0x115c	0x219e
0x1160	0x1924
0x1171	0x117a0x116b
0x1184	0x21ec
0x11bf	0x1429
0x11c7	0x11d2
0x11ce	0x2212
0x11da	0x11df
0x11e2	0x2237
0x11f5	0x225d
0x11f9	0x19d8
0x1200	0x2285
0x123b	0x1455
0x1245	0x1260
0x1258	0x22ab
0x125c	0x1b02
0x1267	0x1270
0x1271	0x128c
0x1284	0x22d3
0x1288	0x1990
0x12c4	0x12e7
0x12d2	0x22fb
0x12d6	0x12e0
0x12ec	0x12f5
0x12fa	0x1303
0x1309	0x130e
0x1431	0x144d
0x1444	0x2345
0x145a	0x1476
0x146d	0x236d
0x147d	0x1482
0x15bd	0x15c4
0x15c5	0x15ce
0x15d1	0x15dd
0x15e0	0x15ec
0x15ef	0x15fb
0x15fe	0x160a
0x160d	0x1619
0x1668	0x166f
0x1672	0x167a
0x1682	0x168a
0x1692	0x169a
0x16a2	0x16aa
0x16b2	0x16ba
0x1760	0x1767
0x176c	0x1778
0x17b6	0x17bd
0x1832	0x1839
0x1f6f	0x116b0x484
0x2512	0x2596
0x2514	0x258a
0x2516	0x258d
0x2518	0x2590
0x251a	0x2593
0x251c	0x2581
0x251e	0x2584
0x2520	0x2587
0x2522	0x256f
0x2524	0x2572
0x2526	0x2575
0x2528	0x2578
0x252a	0x257b
0x252c	0x257e
0x252e	0x2563
0x2530	0x2566
0x2532	0x2569
