0x575	allowance(address,address)
0x6a9	getReserves()
0xa8c	getReserves()
0xd42	getReserves()
0xe84	swap(uint256,uint256,address,bytes)
0xf1d	deposit()
0xf86	transfer(address,uint256)
0x100d	swap(uint256,uint256,address,bytes)
0x8a1S0x32a	getReserves()
0x14e4S0x13ecS0xe06	transferFrom(address,address,uint256)
