0x186	0x21ddb7f
0x1a8	0xc340a24
0x1d3	0x12b495a8
0x1f5	0x15fe96dc
0x215	0x1bce6ff3
0x22a	0x23a58292
0x23f	0x2585581f
0x254	0x355274ea
0x269	0x4c4043b4
0x289	0x5001f3b5
0x29e	0x54c2ce4b
0x2be	0x5c5364c3
0x2de	0x6b02ba2e
0x2fe	0x6dd5b69d
0x31e	0x7cf8f3f8
0x333	0x81c0c263
0x348	0xa8aa1b31
0x35d	0xad5c4648
0x372	0xae58c301
0x392	0xb6aa515b
0x3b2	0xc0639882
0x3c7	0xd4b83992
0x3dc	0xdf69e016
0x3fc	0xe38be723
0x40f	0xe434f7a1
0x42f	0xfc0c546a
0x1c66	0x00000000
